match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.1,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.2,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,2,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,0.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.2,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.3,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,2,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.5,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,1.6,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.2,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,2,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.4,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,2.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.2,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.3,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,3.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.2,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.5,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,4.6,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.1,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,2,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.2,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,4,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.4,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,5.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.2,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.3,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.5,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,6.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.1,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,4,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.2,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.4,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,7.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.1,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.2,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.3,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.4,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,8.6,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,TM Odoyo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,9.1,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,9.2,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,9.3,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,0,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,9.4,Pakistan,Kenya,Taufeeq Umar,Mohammad Hafeez,PJ Ongondo,1,0,,,,,,,,,
65808,2002/03,2003-04-08,Sharjah Cricket Association Stadium,1,9.5,Pakistan,Kenya,Mohammad Hafeez,Taufeeq Umar,PJ Ongondo,0,0,,,,,,,,,
