"match_id","innings","ball","batting_team","bowling_team","striker","non_striker","bowler","runs_off_bat","extras","wides","noballs","byes","legbyes","penalty","wicket_type","player_dismissed"
1,1,1.1,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,1.2,"Team A","Team B","Player 1","Player 2","Player 11",2,0,0,0,0,0,0,"",""
1,1,1.3,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,1.4,"Team A","Team B","Player 1","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,1.5,"Team A","Team B","Player 2","Player 1","Player 11",1,0,0,0,0,0,0,"",""
1,1,1.6,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,2.1,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,2.2,"Team A","Team B","Player 1","Player 2","Player 11",0,2,0,1,0,0,0,"",""
1,1,2.3,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,2.4,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,2.5,"Team A","Team B","Player 1","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,2.6,"Team A","Team B","Player 2","Player 1","Player 11",3,0,0,0,0,0,0,"",""
1,1,3.1,"Team A","Team B","Player 1","Player 2","Player 11",4,0,0,0,0,0,0,"",""
1,1,3.2,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"",""
1,1,3.3,"Team A","Team B","Player 1","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,3.4,"Team A","Team B","Player 2","Player 1","Player 11",1,0,0,0,0,0,0,"",""
1,1,3.5,"Team A","Team B","Player 1","Player 2","Player 11",4,0,0,0,0,0,0,"",""
1,1,3.6,"Team A","Team B","Player 1","Player 2","Player 11",0,0,0,0,0,0,0,"run out","Player 1"
1,1,4.1,"Team A","Team B","Player 5","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,4.2,"Team A","Team B","Player 2","Player 5","Player 11",1,0,0,0,0,0,0,"",""
1,1,4.3,"Team A","Team B","Player 5","Player 2","Player 11",2,0,0,0,0,0,0,"",""
1,1,4.4,"Team A","Team B","Player 5","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,4.5,"Team A","Team B","Player 2","Player 5","Player 11",1,0,0,0,0,0,0,"",""
1,1,4.6,"Team A","Team B","Player 5","Player 2","Player 11",1,0,0,0,0,0,0,"",""
1,1,5.1,"Team A","Team B","Player 2","Player 5","Player 11",1,0,0,0,0,0,0,"",""
1,1,5.2,"Team A","Team B","Player 5","Player 2","Player 11",0,2,0,0,0,0,0,"",""
1,1,5.3,"Team A","Team B","Player 5","Player 2","Player 11",4,0,0,0,0,0,0,"",""
1,1,5.4,"Team A","Team B","Player 5","Player 2","Player 11",1,0,0,0,0,0,0,"",""
